polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,podemos,cs,iu_u_pe_c,erc_cat_si,di_l,cdc,basque_nationalist_party,pacma,eh_bildu,cc
GAD3,08/03/2016,10/03/2016,26/06/2016,800,67,28.2,24.2,18.7,14.1,3.2,2.9,1.8,1.2,NA,0.7,0.3,NA
Metroscopia,07/03/2016,09/03/2016,26/06/2016,1200,75,26,23.1,16.8,19.5,5.4,NA,NA,NA,NA,NA,NA,NA
Sondaxe,07/03/2016,09/03/2016,26/06/2016,1002,NA,28.6,22,19.1,15.6,4.2,2.5,2.1,1.2,NA,0.8,0.3,NA
Simple Lógica,07/03/2016,09/03/2016,26/06/2016,1206,72.5,26.2,21.6,18.3,17.1,7.9,NA,NA,NA,NA,NA,NA,NA
GESOP,06/03/2016,08/03/2016,26/06/2016,1000,NA,26.4,21.9,18.1,17.8,5.9,2.4,1.5,NA,NA,NA,NA,NA
Celeste-Tel,03/03/2016,05/03/2016,26/06/2016,1100,66.1,28.6,22.6,19.6,15.7,4.6,2.5,1.9,1.1,1,0.8,0.3,NA
NC Report,02/03/2016,04/03/2016,26/06/2016,1400,65,29.2,21.8,20.2,14.9,4.2,2.4,1.9,1.2,NA,0.8,0.4,NA
JM&A,03/03/2016,03/03/2016,26/06/2016,NA,67.3,26.5,20.2,20.9,16.9,3.3,2.6,2.4,1.3,NA,1,0.4,NA
InvyMark,24/02/2016,26/02/2016,26/06/2016,1200,NA,26.8,20.3,22.1,15.8,4.5,NA,NA,NA,NA,NA,NA,NA
DYM,21/02/2016,23/02/2016,26/06/2016,1071,NA,25.6,22.1,19.8,17.6,5.4,NA,NA,NA,NA,NA,NA,NA
InvyMark,17/02/2016,19/02/2016,26/06/2016,NA,NA,26.4,21.8,20.7,16.2,4.2,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,16/02/2016,18/02/2016,26/06/2016,1000,NA,27.8,23.1,18.8,15.3,4,2.4,2.1,1.1,NA,NA,NA,NA
NC Report,16/02/2016,18/02/2016,26/06/2016,1400,65.3,28.9,21.4,21.1,14.2,3.4,2.5,2,1.2,NA,0.8,0.3,NA
Encuestamos,15/02/2016,17/02/2016,26/06/2016,1800,NA,27.7,24.2,20.5,13.9,3.4,2.5,2.1,1.1,NA,0.9,0.3,NA
GIPEyOP,14/02/2016,16/02/2016,26/06/2016,1960,NA,27.1,22.3,22.3,14.9,3.2,2.4,2.4,1.2,NA,0.7,NA,NA
GAD3,09/02/2016,11/02/2016,26/06/2016,800,68,27.9,20.8,21.4,14.9,3.3,2.6,1.9,1.4,NA,0.7,0.3,NA
Estudio de Sociología Consultores,08/02/2016,10/02/2016,26/06/2016,2100,NA,29,22.6,20.9,14,4,3.4,1.8,1.1,NA,NA,NA,NA
JM&A,07/02/2016,07/02/2016,26/06/2016,NA,70.5,27.8,20.4,21.2,14.9,3.8,2.6,2.3,1.2,NA,0.9,0.3,NA
Simple Lógica,03/02/2016,05/02/2016,26/06/2016,1048,75.6,26.9,21.7,20.3,18.9,5.1,NA,NA,NA,NA,NA,NA,NA
Celeste-Tel,03/02/2016,05/02/2016,26/06/2016,1100,66.6,28.5,22.4,20.4,15.1,3.7,2.7,2,1.2,1,0.8,0.4,NA
InvyMark,03/02/2016,05/02/2016,26/06/2016,NA,NA,27.8,21.1,21.6,15.1,3.8,NA,NA,NA,NA,NA,NA,NA
Metroscopia,02/02/2016,04/02/2016,26/06/2016,1000,73,24,23.3,19.9,18.5,4.3,NA,NA,NA,NA,NA,NA,NA
GAD3,19/01/2016,21/01/2016,26/06/2016,802,70,30.1,21.3,20,13.4,2.9,2.4,2.1,1.1,NA,1.1,0.3,NA
NC Report,19/01/2016,21/01/2016,26/06/2016,1900,65.6,30.7,21.1,21.9,12,3.4,2.4,2.2,1.2,NA,0.8,0.3,NA
MyWord,17/01/2016,19/01/2016,26/06/2016,1000,NA,28,21.3,20.3,14.4,4.7,NA,NA,NA,NA,NA,NA,NA
Redondo & Asociados,16/01/2016,16/01/2016,26/06/2016,NA,NA,30.5,20.7,22.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,13/01/2016,15/01/2016,26/06/2016,NA,NA,30.8,20.8,21.6,12.6,3.5,NA,NA,NA,NA,NA,NA,NA
Celeste-Tel,13/01/2016,15/01/2016,26/06/2016,1100,67.5,30.2,21.9,22.1,12.6,3.3,2.5,2.1,1.1,1,0.9,0.3,NA
NC Report,13/01/2016,15/01/2016,26/06/2016,955,NA,30.5,22.1,20.7,13.4,3.6,NA,NA,NA,NA,NA,NA,NA
Encuestamos,13/01/2016,15/01/2016,26/06/2016,1800,NA,33.2,22.2,21.4,10.9,2.9,2.5,2,1.1,NA,0.8,0.3,NA
Metroscopia,12/01/2016,14/01/2016,26/06/2016,1200,76.4,29,21.1,22.5,16.6,3.2,NA,NA,NA,NA,NA,NA,NA
Estudio de Sociología Consultores,12/01/2016,14/01/2016,26/06/2016,2200,NA,32.4,22.4,20.5,13.2,3.9,NA,NA,NA,NA,NA,NA,NA
Simple Lógica,10/01/2016,12/01/2016,26/06/2016,1050,77.1,30,20.4,21.3,14.7,4.8,NA,NA,NA,NA,NA,NA,NA
IMOP,09/01/2016,11/01/2016,26/06/2016,1000,69,31.4,23.5,19.5,11.8,3.4,2.3,1.8,1.2,NA,0.9,NA,NA
CIS,09/01/2016,11/01/2016,26/06/2016,2496,NA,28.8,20.5,21.9,13.3,3.7,2.8,1.7,1.3,NA,1,0,NA
,NA,NA,26/06/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015 general election,20/12/2016,20/12/2016,26/06/2016,NA,69.7,28.7,22,20.7,13.9,3.7,2.4,2.2,1.2,0.9,0.9,0.3,NA
,NA,NA,26/06/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
