polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,unidas_podemos,cs,erc_sobiranistes,p_de_cat,basque_nationalist_party,pacma,eh_bildu,c_ca,vox,compromis,jx_cat,na
InvyMark,28/01/2019,28/01/2019,28/04/2019,NA,NA,21.3,23.9,13.5,20.9,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA
ElectoPanel,28/01/2019,30/01/2019,28/04/2019,2890,NA,20.1,23.1,14.9,19.6,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA
KeyData,27/01/2019,27/01/2019,28/04/2019,NA,68.7,21.5,22.3,14.8,19.8,3.1,1.6,1.1,NA,0.9,0.3,10.3,NA,NA,NA
NC Report,23/01/2019,25/01/2019,28/04/2019,1000,65.9,24,24.2,16.6,18.7,2.8,1.2,0.9,NA,0.7,NA,9.4,NA,NA,NA
GAD3,22/01/2019,24/01/2019,28/04/2019,1800,NA,23,26.5,11.6,17.1,2.8,1.6,1.2,NA,0.6,0.2,9.8,NA,NA,NA
InvyMark,16/01/2019,18/01/2019,28/04/2019,NA,NA,21.5,23.2,14.4,23,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA
Metroscopia,13/01/2019,15/01/2019,28/04/2019,2332,67,19.1,23.7,17.1,17.8,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA
ElectoPanel,11/01/2019,13/01/2019,28/04/2019,1399,NA,19.1,21.3,16.3,19.9,NA,NA,NA,1.1,NA,NA,13,NA,NA,NA
CIS(Kiko Llaneras),11/01/2019,13/01/2019,28/04/2019,2989,NA,21,24,18.6,18.6,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA
CIS(SocioMétrica),11/01/2019,13/01/2019,28/04/2019,2989,65,19.3,23.8,18,19,3.7,1.1,1.2,1.9,1.1,0.3,8.1,NA,NA,NA
Hamalgama Métrica,15/12/2019,15/12/2019,28/04/2019,NA,NA,22.5,21.2,19.3,18.2,2.5,1.8,2,NA,0.6,0.2,8.7,NA,NA,NA
Simple Lógica,07/01/2019,09/01/2019,28/04/2019,1042,71,18.2,25.1,14,17.9,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA
Celeste-Tel,06/01/2019,08/01/2019,28/04/2019,1100,66.8,23.8,24.1,16.1,19.6,2.8,1.5,1,0.8,0.7,0.3,8.1,NA,NA,NA
SocioMétrica,22/12/2019,22/12/2019,28/04/2019,2200,NA,18.3,22.4,17.1,18.5,3.2,1.4,1.2,NA,0.9,0.3,12.5,NA,NA,NA
KeyData,02/01/2019,02/01/2019,28/04/2019,NA,68.1,22,22.6,15.2,20.5,2.9,1.7,1.1,NA,0.8,0.3,8.6,NA,NA,NA
