type_elec,year,month,round (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum,Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.,Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.,Código I.N.E. del municipio (999 = C.E.R.A.),"Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito)",Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única),Censo del I.N.E.,Censo de escrutinio o censo C.E.R.A.,Censo C.E.R.E. en escrutinio (Residentes Extranjeros),Total votantes C.E.R.E. (Residentes Extranjeros),Votantes del primer avance de participación,Votantes del segundo avance de participación,Votos en blanco,Votos nulos,Votos a candidaturas,Votos afirmativos en Referéndum o ceros en otros procesos electorales,Votos negativos en Referéndum o ceros en otros procesos electorales,Datos oficiales (Si/No)
2,1982,10,1,1,4,81,1,0001,A,399,399,0,0,0,0,0,1,343,0,0,N
2,1982,10,1,1,4,88,2,0001,A,525,525,0,0,0,0,1,6,289,0,0,N
2,1982,10,1,1,4,91,1,0001,A,351,351,0,0,0,0,1,2,309,0,0,N
2,1982,10,1,1,4,92,1,0002,A,953,953,0,0,0,0,2,5,759,0,0,N
2,1982,10,1,1,4,96,1,0001,A,309,309,0,0,0,0,0,2,261,0,0,N
2,1982,10,1,1,4,98,3,0001,A,399,399,0,0,0,0,0,2,229,0,0,N
2,1982,10,1,1,4,100,1,0001,B,644,644,0,0,0,0,0,1,563,0,0,N
2,1982,10,1,1,4,901,1,0002,A,203,203,0,0,0,0,0,0,158,0,0,N
2,1982,10,1,1,11,4,1,0011,A,971,971,0,0,0,0,1,9,800,0,0,N
2,1982,10,1,1,11,4,3,0006,A,1041,1041,0,0,0,0,1,19,770,0,0,N
2,1982,10,1,1,11,6,1,0003,A,513,513,0,0,0,0,1,3,410,0,0,N
2,1982,10,1,1,11,6,3,0003,A,728,728,0,0,0,0,1,2,634,0,0,N
2,1982,10,1,1,11,6,4,0001,A,373,373,0,0,0,0,1,2,208,0,0,N
2,1982,10,1,1,11,7,1,0002,A,459,459,0,0,0,0,3,4,335,0,0,N
2,1982,10,1,1,11,7,4,0001,B,453,453,0,0,0,0,1,4,260,0,0,N
2,1982,10,1,1,11,8,4,0001,A,178,178,0,0,0,0,0,0,26,0,0,N
2,1982,10,1,1,11,10,3,0001,A,601,601,0,0,0,0,1,4,499,0,0,N
2,1982,10,1,1,11,12,1,0001,G,995,995,0,0,0,0,7,3,764,0,0,N
2,1982,10,1,1,4,59,1,0001,A,1087,1087,0,0,0,0,3,12,621,0,0,N
2,1982,10,1,1,4,66,1,0001,B,995,995,0,0,0,0,3,10,614,0,0,N
2,1982,10,1,1,4,66,1,0006,B,501,501,0,0,0,0,0,8,392,0,0,N
2,1982,10,1,1,4,69,1,0001,A,693,693,0,0,0,0,0,3,559,0,0,N
2,1982,10,1,1,4,75,2,0002,A,214,214,0,0,0,0,0,5,156,0,0,N
2,1982,10,1,1,4,76,1,0001,A,571,571,0,0,0,0,0,5,452,0,0,N
2,1982,10,1,1,4,88,1,0001,D,539,539,0,0,0,0,0,5,349,0,0,N
2,1982,10,1,1,4,99,1,0001,A,426,426,0,0,0,0,1,5,241,0,0,N
2,1982,10,1,1,4,901,1,0001,A,389,389,0,0,0,0,2,0,295,0,0,N
2,1982,10,1,1,11,1,2,0001,A,428,428,0,0,0,0,0,4,306,0,0,N
2,1982,10,1,1,11,4,1,0015,A,1045,1045,0,0,0,0,1,6,838,0,0,N
2,1982,10,1,1,11,4,2,0003,A,750,750,0,0,0,0,0,2,578,0,0,N
2,1982,10,1,1,11,4,2,0005,B,789,789,0,0,0,0,3,3,603,0,0,N
2,1982,10,1,1,11,4,3,0011,A,789,789,0,0,0,0,2,5,560,0,0,N
2,1982,10,1,1,11,7,1,0001,B,560,560,0,0,0,0,0,9,386,0,0,N
2,1982,10,1,1,11,7,1,0002,B,594,594,0,0,0,0,1,2,412,0,0,N
2,1982,10,1,1,11,12,1,0003,B,774,774,0,0,0,0,2,30,569,0,0,N
2,1982,10,1,1,11,12,9,0009,A,1132,1132,0,0,0,0,2,11,906,0,0,N
2,1982,10,1,1,4,66,1,0001,A,995,995,0,0,0,0,3,10,614,0,0,N
2,1982,10,1,1,4,71,1,0001,A,431,431,0,0,0,0,1,0,368,0,0,N
2,1982,10,1,1,4,72,1,0001,A,386,386,0,0,0,0,4,0,310,0,0,N
2,1982,10,1,1,4,86,1,0001,B,474,474,0,0,0,0,0,6,206,0,0,N
2,1982,10,1,1,4,90,1,0001,A,473,473,0,0,0,0,0,1,298,0,0,N
2,1982,10,1,1,4,98,2,0001,A,240,240,0,0,0,0,1,0,143,0,0,N
2,1982,10,1,1,4,99,1,0001,B,455,455,0,0,0,0,0,4,310,0,0,N
2,1982,10,1,1,4,99,3,0001,A,188,188,0,0,0,0,0,0,113,0,0,N
2,1982,10,1,1,4,99,3,0002,A,257,257,0,0,0,0,2,1,171,0,0,N
2,1982,10,1,1,11,4,1,0003,A,613,613,0,0,0,0,0,2,489,0,0,N
2,1982,10,1,1,11,4,2,0001,A,618,618,0,0,0,0,4,2,474,0,0,N
2,1982,10,1,1,11,6,1,0004,B,630,630,0,0,0,0,1,5,544,0,0,N
2,1982,10,1,1,11,6,2,0003,A,364,364,0,0,0,0,1,1,286,0,0,N
2,1982,10,1,1,11,6,2,0003,B,577,577,0,0,0,0,1,1,461,0,0,N
2,1982,10,1,1,11,6,3,0001,A,406,406,0,0,0,0,0,7,292,0,0,N
2,1982,10,1,1,11,7,2,0004,A,657,657,0,0,0,0,4,5,494,0,0,N
2,1982,10,1,1,11,7,2,0006,A,309,309,0,0,0,0,0,0,225,0,0,N
2,1982,10,1,1,11,10,1,0001,A,908,908,0,0,0,0,1,5,665,0,0,N
2,1982,10,1,1,11,12,10,0003,A,1955,1955,0,0,0,0,0,11,1438,0,0,N
2,1982,10,1,1,11,20,2,0013,B,447,447,0,0,0,0,0,5,336,0,0,N
2,1982,10,1,1,11,20,3,0015,A,596,596,0,0,0,0,1,5,411,0,0,N
2,1982,10,1,1,11,20,3,0016,A,635,635,0,0,0,0,0,13,409,0,0,N
2,1982,10,1,1,11,20,6,0002,B,520,520,0,0,0,0,0,2,377,0,0,N
2,1982,10,1,1,11,20,6,0006,A,979,979,0,0,0,0,0,6,769,0,0,N
2,1982,10,1,1,11,20,6,0007,A,683,683,0,0,0,0,1,5,531,0,0,N
